"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C105,C106","100n","~","Capacitor_SMD:C_1206_3216Metric","3",""
"C2","10p","~","Capacitor_SMD:C_1206_3216Metric","1",""
"C3,C104","1u","~","Capacitor_SMD:C_1206_3216Metric","2",""
"C101,C103","10n","~","Capacitor_SMD:C_1206_3216Metric","2",""
"C102","1n","~","Capacitor_SMD:C_1206_3216Metric","1",""
"D101,D102,D103,D104,D110,D111,D112,D113,D114","1N4148","~","Diode_SMD:D_SOD-323_HandSoldering","9",""
"J2,J101,J109,J116","Conn_01x03_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","4",""
"J110","Conn_01x05_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","1",""
"J114,J115","Conn_01x07_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","2",""
"Q101,Q102","BC847","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657","Package_TO_SOT_SMD:SOT-23","2",""
"R1","1M","~","Resistor_SMD:R_1206_3216Metric","1",""
"R2","2M2","~","Resistor_SMD:R_1206_3216Metric","1",""
"R4,R127,R128,R129,R130,R131","4k7","~","Resistor_SMD:R_1206_3216Metric","6",""
"R5,R6,R13,R101,R102,R103,R104,R105,R106,R107,R108,R110,R111,R112,R114,R119","100k","~","Resistor_SMD:R_1206_3216Metric","16",""
"R7,R113,R116,R120","1k","~","Resistor_SMD:R_1206_3216Metric","4",""
"R109,R123,R124,R125,R126","10k","~","Resistor_SMD:R_1206_3216Metric","5",""
"R121,R122","33k","~","Resistor_SMD:R_1206_3216Metric","2",""
"U1,U102,U103","TL074","http://www.ti.com/lit/ds/symlink/tl071.pdf","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","3",""
"U101","DG412xUE","https://datasheets.maximintegrated.com/en/ds/DG411-DG413.pdf","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","1",""
