Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_1206_3216Metric",196.337500,-77.150000,0.000000,top
"C2","10p","C_1206_3216Metric",196.312500,-72.200000,0.000000,top
"C3","1u","C_1206_3216Metric",196.275000,-69.700000,180.000000,top
"C101","10n","C_1206_3216Metric",192.500000,-85.900000,0.000000,top
"C102","1n","C_1206_3216Metric",199.500000,-82.100000,0.000000,top
"C103","10n","C_1206_3216Metric",203.200000,-97.000000,90.000000,top
"C104","1u","C_1206_3216Metric",209.700000,-61.300000,180.000000,top
"C105","100n","C_1206_3216Metric",201.700000,-92.600000,0.000000,top
"C106","100n","C_1206_3216Metric",204.250000,-82.100000,0.000000,top
"D101","1N4148","D_SOD-323_HandSoldering",201.000000,-97.000000,90.000000,top
"D102","1N4148","D_SOD-323_HandSoldering",209.800000,-59.030000,180.000000,top
"D103","1N4148","D_SOD-323_HandSoldering",207.800000,-97.000000,-90.000000,top
"D104","1N4148","D_SOD-323_HandSoldering",192.500000,-90.200000,0.000000,top
"D110","1N4148","D_SOD-323_HandSoldering",199.100000,-45.600000,0.000000,top
"D111","1N4148","D_SOD-323_HandSoldering",211.800000,-45.700000,180.000000,top
"D112","1N4148","D_SOD-323_HandSoldering",199.100000,-43.500000,0.000000,top
"D113","1N4148","D_SOD-323_HandSoldering",211.800000,-43.700000,180.000000,top
"D114","1N4148","D_SOD-323_HandSoldering",196.500000,-58.800000,0.000000,top
"D117","1N4148","D_SOD-323_HandSoldering",192.500000,-88.100000,0.000000,top
"Q101","BC847","SOT-23",192.000000,-76.800000,0.000000,top
"Q102","BC847","SOT-23",191.912500,-73.300000,180.000000,top
"Q103","BC847","SOT-23",212.000000,-102.500000,0.000000,top
"R1","1M","R_1206_3216Metric",196.337500,-79.600000,180.000000,top
"R2","2M2","R_1206_3216Metric",196.337500,-74.700000,180.000000,top
"R4","4k7","R_1206_3216Metric",196.275000,-67.300000,0.000000,top
"R5","100k","R_1206_3216Metric",192.012500,-68.900000,90.000000,top
"R6","100k","R_1206_3216Metric",203.500000,-69.800000,180.000000,top
"R7","1k","R_1206_3216Metric",203.500000,-67.400000,0.000000,top
"R13","100k","R_1206_3216Metric",209.962500,-86.400000,0.000000,top
"R101","100k","R_1206_3216Metric",209.712500,-78.220000,180.000000,top
"R102","100k","R_1206_3216Metric",209.712500,-75.820000,180.000000,top
"R103","100k","R_1206_3216Metric",209.712500,-73.400000,180.000000,top
"R104","100k","R_1206_3216Metric",209.712500,-71.020000,180.000000,top
"R105","100k","R_1206_3216Metric",209.962500,-88.835000,180.000000,top
"R106","100k","R_1206_3216Metric",196.400000,-97.000000,-90.000000,top
"R107","100k","R_1206_3216Metric",205.600000,-97.000000,-90.000000,top
"R108","100k","R_1206_3216Metric",198.800000,-97.000000,90.000000,top
"R109","10k","R_1206_3216Metric",196.262500,-62.600000,0.000000,top
"R110","100k","R_1206_3216Metric",196.262500,-64.900000,180.000000,top
"R111","100k","R_1206_3216Metric",209.800000,-56.800000,0.000000,top
"R112","100k","R_1206_3216Metric",210.000000,-96.900000,-90.000000,top
"R113","1k","R_1206_3216Metric",215.000000,-83.900000,0.000000,top
"R114","100k","R_1206_3216Metric",209.962500,-84.000000,0.000000,top
"R116","1k","R_1206_3216Metric",209.700000,-63.700000,0.000000,top
"R119","47k","R_1206_3216Metric",192.500000,-83.500000,0.000000,top
"R121","33k","R_1206_3216Metric",209.500000,-52.437500,-90.000000,top
"R122","33k","R_1206_3216Metric",197.500000,-52.437500,90.000000,top
"R123","10k","R_1206_3216Metric",199.900000,-52.437500,-90.000000,top
"R124","10k","R_1206_3216Metric",202.300000,-52.437500,90.000000,top
"R125","10k","R_1206_3216Metric",204.700000,-52.437500,-90.000000,top
"R126","10k","R_1206_3216Metric",207.100000,-52.437500,90.000000,top
"R127","4k7","R_1206_3216Metric",199.100000,-48.200000,180.000000,top
"R128","4k7","R_1206_3216Metric",211.900000,-47.900000,0.000000,top
"R129","4k7","R_1206_3216Metric",199.100000,-41.300000,180.000000,top
"R130","4k7","R_1206_3216Metric",211.900000,-41.500000,0.000000,top
"R131","4k7","R_1206_3216Metric",196.500000,-56.600000,180.000000,top
"R134","1M","R_1206_3216Metric",192.450000,-92.400000,180.000000,top
"U1","TL074","SOIC-14_3.9x8.7mm_P1.27mm",203.012500,-75.900000,0.000000,top
"U101","DG412xUE","TSSOP-16_4.4x5mm_P0.65mm",203.200000,-87.200000,0.000000,top
"U102","TL074","SOIC-14_3.9x8.7mm_P1.27mm",205.400000,-44.700000,0.000000,top
"U103","TL074","SOIC-14_3.9x8.7mm_P1.27mm",203.000000,-60.300000,0.000000,top
